developer_id,avg_study_duration,total_study_duration,total_revisit,total_tutorial_completion,enrolling_times,avg_total_course_completion_duration,avg_submission_rating,max_score,average_score,total_attemps,is_passed,avg_duration,avg_time_left,avg_time_utilization,dominant_days,consistency_ratio,total_events
3390,143756.59508667502,458871051.51666665,714,3192,61.0,54.96,4.064832911392405,100.0,79.83118971061093,622.0,450.0,0 days 00:06:22.668810289,0 days 00:05:31.639871382,56.309396212933194,['Tuesday'],0.17919799498746866,6384.0
5774,69804.81357104843,131163244.7,176,1879,23.0,78.10526315789474,4.149933377748168,100.0,67.09053497942386,486.0,253.0,0 days 00:26:19.382716049,-1 days +23:50:29.876543210,54.903520804755374,['Sunday'],0.2607770090473656,3758.0
11836,121749.87128843041,200643787.88333333,192,1648,43.0,205.56521739130434,4.173628691983123,100.0,79.49565217391304,345.0,268.0,0 days 00:05:16.521739130,0 days 00:07:40.173913043,36.56328502415459,['Tuesday'],0.2287621359223301,3296.0
17833,145279.83045879353,341988720.9,686,2354,44.0,49.13157894736842,4.325717854763491,100.0,86.26548672566372,339.0,286.0,0 days 00:03:14.159292035,0 days 00:08:41.769911504,30.963946247132085,['Wednesday'],0.2259983007646559,4708.0
32258,257500.45153787633,789753884.8666667,866,3067,75.0,82.51724137931035,3.965069111014113,100.0,84.58988015978694,751.0,613.0,0 days 00:03:35.792276964,0 days 00:07:32.756324900,31.713715046604527,['Sunday'],0.21747636126507988,6134.0
96989,12735.427089360335,26413275.783333335,442,2074,31.0,36.0,4.120022855133615,100.0,71.45833333333333,672.0,402.0,0 days 00:03:51.428571428,0 days 00:08:08.214285714,24.806878306878307,['Monday'],0.20853423336547733,4148.0
102556,239734.8467569092,991783061.0333333,991,4137,51.0,197.34883720930233,4.42324747326072,100.0,84.42582710779082,937.0,756.0,0 days 00:03:27.022411953,0 days 00:07:36.499466382,29.51476342938456,['Monday'],0.16727096930142615,8274.0
110119,6430.564778725132,5279493.683333334,94,821,24.0,69.4,3.924672995780591,100.0,84.85034013605443,147.0,125.0,0 days 00:02:33.061224489,0 days 00:08:09.795918367,21.746031746031743,['Monday'],0.2630937880633374,1642.0
113842,17975.541275263306,21049358.833333332,251,1171,33.0,28.071428571428573,4.150071579264617,100.0,73.44067796610169,354.0,214.0,0 days 00:03:49.661016949,0 days 00:08:16.610169491,27.05461393596987,['Monday'],0.22715627668659266,2342.0
153116,20036.545844269465,30535695.866666667,108,1524,21.0,124.85714285714286,3.9317058468957207,100.0,66.7953216374269,513.0,276.0,0 days 00:04:29.707602339,0 days 00:07:37.777777777,32.07125839289582,['Monday'],0.3185695538057743,3048.0
